"ObjectID","ObjectNumber","ObjRightsType","RenditionNumber","Rank","PrimaryDisplay","MediaType","FileName"
"102","1983.110.8                                ","Restricted (Nonexclusive License)","1","10","1","Negative",""
"125","1915.11.2                                 ","Unrestricted (Public Domain)","1","10","1","Negative",""
"228","1986.57.1                                 ","Undetermined*","1","10","1","Slide",""
"529","1986.41.3                                 ","Restricted (See File)","1","10","1","Slide",""
"532","1986.41.10                                ","Restricted (See File)","1","10","1","Slide",""
"535","1986.41.1                                 ","Restricted (See File)","1","10","1","Slide",""
"538","1986.41.8                                 ","Restricted (See File)","1","10","1","Slide",""
"804","1952.13.4                                 ","Unrestricted (Public Domain)","1","10","1","Negative",""
"807","1927.5.7                                  ","Unrestricted (Public Domain)","1","10","1","Negative",""
"1253","1951.15                                   ","Unrestricted (Public Domain)","1","10","1","Black and White Print",""
"1273","1952.13.47                                ","Unrestricted (Public Domain)","1","10","1","Black and White Print",""
"1542","1984.124.22                               ","Unrestricted*","1","10","1","Color Transparency",""
"1975","1986.80.1                                 ","Unrestricted*","1","10","1","Negative",""
"2996","1983.90.212                               ","Undetermined*","1","10","1","Negative",""
"3128","1984.11.3                                 ","Restricted (Nonexclusive License)","1","10","1","Slide",""
"3134","1984.11.1                                 ","Restricted (Nonexclusive License)","1","10","1","Slide",""
"3778","1984.124.45                               ","Unrestricted*","1","10","1","Negative",""
"3821","1984.124.54                               ","Unrestricted*","1","10","1","Negative",""
"3827","1984.124.60                               ","Unrestricted*","1","10","1","Negative",""
"3867","1981.97.1                                 ","Restricted (See File)","1","10","1","Negative",""
"4571","1975.7.3                                  ","Restricted (See File)","3","10","1","Negative",""
"4714","1984.124.66                               ","Unrestricted*","1","10","1","Negative",""
"4717","1985.24.3                                 ","Restricted (Nonexclusive License)","1","10","1","Slide",""
"4720","1985.24.1                                 ","Restricted (Nonexclusive License)","1","10","1","Slide",""
"5052","1986.83.3                                 ","Restricted (Nonexclusive License)","1","10","1","Slide",""
"5229","1987.19.1                                 ","Unrestricted (Transfer of Copyright)","1","10","1","Slide",""
"5235","1987.19.3                                 ","Unrestricted (Transfer of Copyright)","1","10","1","Slide",""
"6102","1988.5.4                                  ","Unrestricted (Public Domain)","1","10","1","Slide",""
"6105","1988.5.21                                 ","Unrestricted (Public Domain)","1","10","1","Slide",""
"6116","1988.5.13                                 ","Unrestricted (Public Domain)","1","10","1","Slide",""
"6117","1988.5.5                                  ","Unrestricted (Public Domain)","1","10","1","Slide",""
"6600","1979.58                                   ","(not assigned)","1","10","1","Color Transparency",""
"6924","1982.20.3                                 ","Undetermined*","1","10","1","Color Transparency",""
"7720","1954.11.11                                ","Unrestricted (Public Domain)","1","10","1","Black and White Print",""
"8040","1986.57.16                                ","Restricted (Nonexclusive License)","1","10","1","Slide",""
"8435","1986.51.1                                 ","Undetermined*","1","10","1","Slide",""
"8567","1985.15.2                                 ","Restricted (Nonexclusive License)","1","10","1","Negative",""
"8956","1915.11.33                                ","Unrestricted (Public Domain)","1","10","1","Black and White Print",""
"9091","1955.9.4                                  ","Unrestricted (Public Domain)","1","10","1","Negative",""
"9268","1986.25                                   ","Restricted (Nonexclusive License)","1","10","1","Color Transparency",""
"9414","1984.94                                   ","Unrestricted*","1","10","1","Color Transparency",""
"9534","1984.95.2                                 ","Restricted (Nonexclusive License)","1","10","1","Slide",""
"9715","1956.11.22                                ","Unrestricted (Public Domain)","1","10","1","Negative",""
"9935","1986.92.51                                ","Unrestricted (Transfer of Copyright)","1","10","1","Slide",""
"10330","1986.22.2                                 ","Restricted (Nonexclusive License)","1","10","1","Negative",""
"10871","1984.36.3                                 ","Unrestricted (Public Domain)","1","10","1","Slide",""
"11126","1984.145.14                               ","Restricted (Nonexclusive License)","1","10","1","Color Transparency",""
"11232","1984.106.7                                ","Restricted (Nonexclusive License)","1","10","1","Slide",""
"11269","1989.13.2                                 ","Restricted (Nonexclusive License)","1","10","1","Slide",""
"11318","1984.17.4                                 ","Restricted (Nonexclusive License)","1","10","1","Slide",""
"11621","1967.59.989R-V                            ","Unrestricted (Public Domain)","1","10","1","Color Transparency",""
"11641","1967.59.42                                ","Unrestricted (Public Domain)","1","10","1","Negative",""
"11781","1967.59.1101                              ","Unrestricted (Public Domain)","1","10","1","Slide",""
"11873","1967.59.548                               ","Unrestricted (Public Domain)","1","10","1","Negative",""
"12116","1967.59.841                               ","Unrestricted (Public Domain)","2","10","1","Slide",""
"12136","1967.59.157R-V                            ","Unrestricted (Public Domain)","1","10","1","Color Transparency",""
"12663","1967.59.110                               ","Unrestricted (Public Domain)","2","10","1","Slide",""
"12760","1985.3                                    ","Unrestricted (Public Domain)","1","10","1","Slide",""
"13567","1974.45                                   ","Unrestricted (Public Domain)","2","10","1","Slide",""
"13754","1985.82.3                                 ","Undetermined*","1","10","1","Color Transparency",""
"13894","1985.80                                   ","Undetermined*","1","10","1","Slide",""
"14137","1984.68.1                                 ","Restricted (Nonexclusive License)","1","10","1","Slide",""
"14478","1915.11.47                                ","Unrestricted (Public Domain)","1","10","1","Black and White Print",""
"14512","1984.124.175                              ","Unrestricted*","1","10","1","Slide",""
"14555","1988.15.21                                ","Undetermined*","1","10","1","Slide",""
"14881","1984.151                                  ","Restricted (Nonexclusive License)","1","10","1","Negative",""
"15285","1986.75                                   ","Unrestricted (Transfer of Copyright)","4","10","1","Slide",""
"16018","1966.47.275                               ","Unrestricted*","1","10","1","Slide",""
"16149","1985.44                                   ","Restricted (Nonexclusive License)","1","10","1","Color Transparency",""
"16210","1970.327                                  ","Unrestricted (Public Domain)","1","10","1","Negative",""
"16218","1972.138B                                 ","Restricted (See File)","1","10","1","Negative",""
"16473","1915.11.58                                ","Unrestricted (Public Domain)","1","10","1","Slide",""
"16725","1988.15.6                                 ","Undetermined*","1","10","1","Slide",""
"17727","1984.121.4                                ","Unrestricted*","1","10","1","Slide",""
"18205","1980.31                                   ","Undetermined*","1","10","1","Negative",""
"18917","1983.39.1                                 ","Unrestricted*","1","10","1","Slide",""
"18926","1983.39.11                                ","Unrestricted*","1","10","1","Slide",""
"19275","1915.11.63                                ","Unrestricted (Public Domain)","1","10","1","Negative",""
"19782","1929.6.83                                 ","Unrestricted (Public Domain)","1","10","1","Negative",""
"19988","1989.45                                   ","Undetermined*","1","10","1","Negative",""
"20629","1985.19                                   ","Restricted (See File)","1","10","1","Color Transparency",""
"20950","1986.91.4                                 ","Undetermined*","1","10","1","Slide",""
"20953","1986.91.9                                 ","Undetermined*","1","10","1","Slide",""
"20958","1986.91.6                                 ","Undetermined*","1","10","1","Slide",""
"20961","1986.91.5                                 ","Undetermined*","1","10","1","Slide",""
"20964","1986.91.8                                 ","Undetermined*","1","10","1","Slide",""
"21700","1970.80                                   ","Unrestricted (Public Domain)","1","10","1","Negative",""
"21725","1967.6.20                                 ","Unrestricted (Public Domain)","1","10","1","Color Transparency",""
"22404","1986.14                                   ","Restricted (Nonexclusive License)","1","10","1","Color Transparency",""
"22816","1987.5.5                                  ","Undetermined*","1","10","1","Slide",""
"22994","1985.65.36                                ","Unrestricted (Public Domain)","2","10","1","Slide",""
"23056","1985.66.384,190                           ","Unrestricted (Public Domain)","1","10","1","Negative",""
"23950","1929.6.162                                ","Unrestricted (Public Domain)","1","10","1","Color Transparency",""
"24190","1918.5.17                                 ","Unrestricted (Public Domain)","1","10","1","Black and White Print",""
"24230","1915.11.78                                ","Unrestricted (Public Domain)","1","10","1","Black and White Print",""
"24373","1984.10.13                                ","Restricted (Nonexclusive License)","1","10","1","Negative",""
"24379","1984.10.3                                 ","Undetermined*","1","10","1","Slide",""
"24393","1984.124.293                              ","Unrestricted*","1","10","1","Slide",""
"24565","1929.6.148                                ","Unrestricted (Public Domain)","1","10","1","Color Transparency",""
"24748","1988.15.19                                ","Undetermined*","1","10","1","Slide",""