objectnumber,HeightCM,HeightIN,WidthCM,WidthIN,DepthCM,DepthIN,DiamCM,DiamIN,LenCM,LenIN,Label,Element,ObjID,WeightCM,WeightIN,Method,Description,ISN,ObjectID
1962.8.76,58.1025,22.875,40.64,16,0,0,0,0,0,0,,sheet,2,0,0,,,2,35
1986.62,78.74,31,70.8025,27.875,0,0,0,0,0,0,,sheet,3,0,0,,,3,50
1970.264.1,33.655,13.25,40.005,15.75,0,0,0,0,0,0,,sheet,4,0,0,,,4,64
1970.264.1,45.72,18,55.88,22,0,0,0,0,0,0,,mount,5,0,0,,,5,64
1988.16,111.76,44,76.2,30,0,0,0,0,0,0,,image,6,0,0,,,6,65
1987.24,28.575,11.25,37.465,14.75,0,0,0,0,0,0,,sheet,7,0,0,,,7,68
1977.74.9,26.035,10.25,34.29,13.5,0,0,0,0,0,0,,image,8,0,0,,,8,72
1977.74.6,9.68375,3.8125,12.065,4.75,0,0,0,0,0,0,,image,9,0,0,,,9,73
1977.74.8,16.66875,6.5625,11.43,4.5,0,0,0,0,0,0,,image,10,0,0,,,10,74
1977.74.2,19.20875,7.5625,23.65375,9.3125,0,0,0,0,0,0,,image,11,0,0,,,11,75
1977.74.5,23.8125,9.375,14.9225,5.875,0,0,0,0,0,0,,image,12,0,0,,,12,76
1977.74.3,23.97125,9.4375,19.05,7.5,0,0,0,0,0,0,,image,13,0,0,,,13,78
1977.74.7,19.05,7.5,24.13,9.5,0,0,0,0,0,0,,sheet,14,0,0,,,14,79
1977.74.1,22.225,8.75,15.08125,5.9375,0,0,0,0,0,0,,image,15,0,0,,,15,80
1977.74.4,23.97125,9.4375,19.05,7.5,0,0,0,0,0,0,,image,16,0,0,,,16,81
1976.103.15,40.64,16,30.1625,11.875,0,0,0,0,0,0,,sheet,17,0,0,,,17,91
1988.18.1,50.8,20,63.5,25,0,0,0,0,0,0,,sheet,18,0,0,,,18,173
1988.18.2,50.8,20,63.5,25,0,0,0,0,0,0,,sheet,19,0,0,,,19,174
1988.18.3,50.8,20,63.5,25,0,0,0,0,0,0,,image,20,0,0,,,20,175
1988.18.4,50.8,20,63.5,25,0,0,0,0,0,0,,sheet,21,0,0,,,21,176
1988.18.5,50.8,20,63.5,25,0,0,0,0,0,0,,image,22,0,0,,,22,177
1988.18.6,50.8,20,63.5,25,0,0,0,0,0,0,,image,23,0,0,,,23,178
1988.18.7,50.8,20,63.5,25,0,0,0,0,0,0,,image,24,0,0,,,24,179
1988.18.8,50.8,20,63.5,25,0,0,0,0,0,0,,image,25,0,0,,,25,180
1971.18,43.18,17,43.18,17,0,0,0,0,0,0,,sheet,26,0,0,,,26,206
1987.52.1,21.2725,8.375,16.51,6.5,0,0,0,0,0,0,,image,27,0,0,,,27,220
1985.79.2,39.84625,15.6875,26.51125,10.4375,0,0,0,0,0,0,,sheet,28,0,0,,,28,224
1909.7.1,134.62,53,88.9,35,0,0,0,0,0,0,,frame,29,0,0,,,29,225
1986.57.1,55.88,22,45.56125,17.9375,0,0,0,0,0,0,,mount,30,0,0,,,30,228
1950.4.18,11.7475,4.625,10.795,4.25,2.2225,0.875,0,0,0,0,,frame,31,0,0,,,31,376
1988.18.22,55.88,22,76.2,30,0,0,0,0,0,0,,sheet,32,0,0,,,32,381
1974.38.48,46.99,18.5,40.64,16,0,0,0,0,0,0,,sheet,33,0,0,,,33,392
1974.38.50,29.21,11.5,40.64,16,0,0,0,0,0,0,,sheet,34,0,0,,,34,394
1974.38.49,30.63875,12.0625,35.56,14,0,0,0,0,0,0,,sheet,35,0,0,,,35,395
1988.18.23,76.2,30,55.88,22,0,0,0,0,0,0,,sheet,36,0,0,,,36,415
1979.33.1,38.1,15,32.385,12.75,0,0,0,0,0,0,,sheet,37,0,0,,,37,430
1979.33.1,68.58,27,53.34,21,0,0,0,0,0,0,,mount,38,0,0,,,38,430
1974.38.33,38.4175,15.125,58.1025,22.875,0,0,0,0,0,0,,sheet,39,0,0,,,39,437
1987.52.2,20.32,8,20.32,8,0,0,0,0,0,0,,image,40,0,0,,,40,491
1986.93,73.66,29,71.755,28.25,0,0,0,0,0,0,,sheet,41,0,0,,,41,506
1986.41.5,50.64125,19.9375,40.9575,16.125,0,0,0,0,0,0,,sheet,42,0,0,,,42,528
1986.41.3,50.64125,19.9375,40.79875,16.0625,0,0,0,0,0,0,,sheet,43,0,0,,,43,529
1986.41.6,50.64125,19.9375,40.79875,16.0625,0,0,0,0,0,0,,sheet,44,0,0,,,44,530
1986.41.4,50.64125,19.9375,40.79875,16.0625,0,0,0,0,0,0,,sheet,45,0,0,,,45,531
1986.41.10,50.64125,19.9375,40.9575,16.125,0,0,0,0,0,0,,sheet,46,0,0,,,46,532
1986.41.7,50.4825,19.875,40.79875,16.0625,0,0,0,0,0,0,,sheet,47,0,0,,,47,533
1986.41.9,50.4825,19.875,40.79875,16.0625,0,0,0,0,0,0,,sheet,48,0,0,,,48,534
1986.41.1,50.64125,19.9375,40.9575,16.125,0,0,0,0,0,0,,sheet,49,0,0,,,49,535
1986.41.2,50.4825,19.875,40.79875,16.0625,0,0,0,0,0,0,,sheet,50,0,0,,,50,536
1986.41.11,50.64125,19.9375,40.79875,16.0625,0,0,0,0,0,0,,sheet,51,0,0,,,51,537
1986.41.8,50.8,20,41.11625,16.1875,0,0,0,0,0,0,,sheet,52,0,0,,,52,538
1967.127.9,54.61,21.5,26.035,10.25,0,0,0,0,0,0,,overall_1,53,0,0,,,53,542
1967.127.4,66.675,26.25,45.72,18,0,0,0,0,0,0,,image,54,0,0,,,54,543
1967.127.6,63.5,25,44.45,17.5,0,0,0,0,0,0,,image,55,0,0,,,55,545
1967.127.1,66.04,26,44.45,17.5,0,0,0,0,0,0,,image,56,0,0,,,56,546
1967.127.8,43.18,17,69.85,27.5,0,0,0,0,0,0,,image,57,0,0,,,57,547
1967.127.3,65.405,25.75,47.3075,18.625,0,0,0,0,0,0,,image,58,0,0,,,58,548
1967.127.5,64.77,25.5,40.005,15.75,0,0,0,0,0,0,,image,59,0,0,,,59,549
1967.127.7,76.835,30.25,56.515,22.25,0,0,0,0,0,0,,sheet,60,0,0,,,60,550
1967.127.2,67.31,26.5,44.45,17.5,0,0,0,0,0,0,,image,61,0,0,,,61,551
1976.103.9,32.385,12.75,43.815,17.25,0,0,0,0,0,0,,sheet,62,0,0,,,62,559
1986.37.1,54.13375,21.3125,66.3575,26.125,0,0,0,0,0,0,,sheet,63,0,0,,,63,562
1986.37.2,54.13375,21.3125,66.19875,26.0625,0,0,0,0,0,0,,sheet,64,0,0,,,64,563
1986.37.3,54.2925,21.375,65.7225,25.875,0,0,0,0,0,0,,sheet,65,0,0,,,65,564
1988.15.15,36.35375,14.3125,23.1775,9.125,0,0,0,0,0,0,,sheet,66,0,0,,,66,576
1989.54.2,30.48,12,50.8,20,0,0,0,0,0,0,,sheet,67,0,0,,,67,590
1989.54.1,25.4,10,30.48,12,0,0,0,0,0,0,,sheet,68,0,0,,,68,591
1987.51.3,40.64,16,55.5625,21.875,0,0,0,0,0,0,,sheet,69,0,0,,,69,608
1987.51.12,55.88,22,81.28,32,0,0,0,0,0,0,,sheet,70,0,0,,,70,610
1987.51.15,48.26,19,63.5,25,0,0,0,0,0,0,,sheet,71,0,0,,,71,615
1987.51.4,40.64,16,55.88,22,0,0,0,0,0,0,,sheet,72,0,0,,,72,617
1987.51.9,47.9425,18.875,64.135,25.25,0,0,0,0,0,0,,sheet,73,0,0,,,73,620
1988.18.30,76.2,30,55.88,22,0,0,0,0,0,0,,sheet,74,0,0,,,74,659
1953.3.3,48.895,19.25,35.56,14,0,0,0,0,0,0,,image_1,75,0,0,,,75,669
1971.379,31.115,12.25,44.45,17.5,0,0,0,0,0,0,,sheet,76,0,0,,,76,704
1988.15.16,32.385,12.75,40.64,16,0,0,0,0,0,0,,sheet,77,0,0,,,77,710
1976.103.7,41.5925,16.375,31.75,12.5,0,0,0,0,0,0,,sheet,78,0,0,,,78,838
1982.86.1,57.15,22.5,120.015,47.25,0,0,0,0,0,0,,image,79,0,0,,,79,873
1985.40.12,50.8,20,40.64,16,0,0,0,0,0,0,,mount,80,0,0,,,80,874
1985.40.15,50.8,20,40.64,16,0,0,0,0,0,0,,mount,81,0,0,,,81,875
1985.40.17,30.48,12,38.735,15.25,0,0,0,0,0,0,,image,82,0,0,,,82,876
1985.40.17,40.64,16,50.8,20,0,0,0,0,0,0,,mount,83,0,0,,,83,876
1985.40.14,50.8,20,40.3225,15.875,0,0,0,0,0,0,,mount,84,0,0,,,84,877
1985.40.30,40.64,16,50.8,20,0,0,0,0,0,0,,mount,85,0,0,,,85,878
1985.40.22,50.8,20,40.64,16,0,0,0,0,0,0,,mount,86,0,0,,,86,879
1985.40.16,40.64,16,50.4825,19.875,0,0,0,0,0,0,,mount,87,0,0,,,87,880
1985.40.3,50.8,20,40.64,16,0,0,0,0,0,0,,mount,88,0,0,,,88,881
1985.40.13,50.8,20,40.64,16,0,0,0,0,0,0,,mount,89,0,0,,,89,882
1985.40.29,51.1175,20.125,40.64,16,0,0,0,0,0,0,,mount,90,0,0,,,90,883
1985.40.1,27.94,11,30.7975,12.125,0,0,0,0,0,0,,sheet,91,0,0,,,91,884
1985.40.6,34.29,13.5,25.0825,9.875,0,0,0,0,0,0,,image,92,0,0,,,92,885
1985.40.6,50.8,20,40.64,16,0,0,0,0,0,0,,mount,93,0,0,,,93,885
1985.40.11,50.8,20,40.64,16,0,0,0,0,0,0,,mount,94,0,0,,,94,886
1985.40.4,40.64,16,50.8,20,0,0,0,0,0,0,,mount,95,0,0,,,95,887
1985.40.9,40.64,16,50.8,20,0,0,0,0,0,0,,mount,96,0,0,,,96,888
1985.40.31,27.6225,10.875,33.81375,13.3125,0,0,0,0,0,0,,sheet,97,0,0,,,97,889
1985.40.33,50.8,20,40.64,16,0,0,0,0,0,0,,mount,98,0,0,,,98,890
1985.40.5,40.64,16,50.8,20,0,0,0,0,0,0,,mount,99,0,0,,,99,891
1985.40.18,40.64,16,50.8,20,0,0,0,0,0,0,,mount,100,0,0,,,100,892
